WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1001,tropicana,9965,1,2.1,20926.5
1990-06-21,1001,tropicana,10483,1,2.46,25788.18
1990-06-28,1001,tropicana,13436,1,2.51,33724.36
1990-07-05,1001,tropicana,15097,1,2.37,35779.89
1990-07-12,1001,tropicana,13383,1,2.44,32654.52
1990-07-19,1001,tropicana,11379,1,2.14,24351.06
1990-07-26,1001,tropicana,13470,1,2.03,27344.1
1990-08-02,1001,tropicana,14911,1,2.02,30120.22
1990-08-09,1001,tropicana,13403,1,2.35,31497.050000000003
1990-08-16,1001,tropicana,17198,1,2.05,35255.899999999994
1990-08-23,1001,tropicana,12001,1,2.61,31322.609999999997
1990-08-30,1001,tropicana,17995,1,2.4,43188.0
1990-09-06,1001,tropicana,9574,1,2.43,23264.820000000003
1990-09-13,1001,tropicana,16400,1,2.18,35752.0
1990-09-20,1001,tropicana,13623,1,2.41,32831.43
1990-09-27,1001,tropicana,18161,1,1.93,35050.729999999996
1990-10-04,1001,tropicana,12004,1,2.03,24368.12
1990-10-11,1001,tropicana,14116,1,2.62,36983.92
1990-10-18,1001,tropicana,17299,1,2.45,42382.55
1990-10-25,1001,tropicana,16466,1,2.63,43305.58
1990-11-01,1001,tropicana,15893,1,2.21,35123.53
1990-11-08,1001,tropicana,12101,1,2.55,30857.55
1990-11-15,1001,tropicana,12947,1,2.0,25894.0
1990-11-22,1001,tropicana,15558,1,1.94,30182.52
1990-11-29,1001,tropicana,9938,1,2.45,24348.100000000002
1990-12-06,1001,tropicana,18735,1,2.03,38032.049999999996
1990-12-13,1001,tropicana,13319,1,2.11,28103.09
1990-12-20,1001,tropicana,13293,1,2.23,29643.39
1990-12-27,1001,tropicana,19191,1,2.28,43755.479999999996
1991-01-03,1001,tropicana,18159,1,2.31,41947.29
1991-01-10,1001,tropicana,11302,1,2.38,26898.76
1991-01-17,1001,tropicana,19205,1,2.44,46860.2
1991-01-24,1001,tropicana,10121,1,2.28,23075.879999999997
1991-01-31,1001,tropicana,16616,1,2.32,38549.119999999995
1991-02-07,1001,tropicana,18116,1,2.11,38224.759999999995
1991-02-14,1001,tropicana,17940,1,2.45,43953.0
1991-02-21,1001,tropicana,18759,1,2.04,38268.36
1991-02-28,1001,tropicana,17300,1,2.42,41866.0
1991-03-07,1001,tropicana,10933,1,2.07,22631.309999999998
1991-03-14,1001,tropicana,16942,1,2.01,34053.42
1991-03-21,1001,tropicana,9102,1,2.07,18841.14
1991-03-28,1001,tropicana,16306,1,2.67,43537.02
1991-04-04,1001,tropicana,12884,1,2.69,34657.96
1991-04-11,1001,tropicana,15206,1,2.61,39687.659999999996
1991-04-18,1001,tropicana,14098,1,1.94,27350.12
1991-04-25,1001,tropicana,10230,1,2.38,24347.399999999998
1991-05-02,1001,tropicana,13571,1,2.44,33113.24
1991-05-09,1001,tropicana,11891,1,2.16,25684.56
1991-05-16,1001,tropicana,14543,1,2.34,34030.619999999995
1991-05-23,1001,tropicana,15272,1,2.61,39859.92
1991-05-30,1001,tropicana,13804,1,2.57,35476.28
1991-06-06,1001,tropicana,18944,1,2.0,37888.0
1991-06-13,1001,tropicana,11946,1,2.12,25325.52
1991-06-20,1001,tropicana,9368,1,2.29,21452.72
1991-06-27,1001,tropicana,10964,1,2.33,25546.12
1991-07-04,1001,tropicana,10882,1,2.09,22743.379999999997
1991-07-11,1001,tropicana,14470,1,2.49,36030.3
1991-07-18,1001,tropicana,18266,1,1.95,35618.7
1991-07-25,1001,tropicana,14586,1,1.94,28296.84
1991-08-01,1001,tropicana,9084,1,2.08,18894.72
1991-08-08,1001,tropicana,11926,1,2.28,27191.28
1991-08-15,1001,tropicana,13273,1,1.98,26280.54
1991-08-22,1001,tropicana,14327,1,2.06,29513.62
1991-08-29,1001,tropicana,14668,1,1.93,28309.239999999998
1991-09-05,1001,tropicana,10845,1,2.39,25919.550000000003
1991-09-12,1001,tropicana,15482,1,2.66,41182.12
1991-09-19,1001,tropicana,14917,1,2.65,39530.049999999996
1991-09-26,1001,tropicana,14816,1,2.14,31706.24
1991-10-03,1001,tropicana,12746,1,2.31,29443.260000000002
1991-10-10,1001,tropicana,16096,1,2.44,39274.24
1991-10-17,1001,tropicana,17063,1,2.38,40609.939999999995
1991-10-24,1001,tropicana,14005,1,2.67,37393.35
1991-10-31,1001,tropicana,17306,1,2.21,38246.26
1991-11-07,1001,tropicana,9612,1,2.24,21530.88
1991-11-14,1001,tropicana,19371,1,2.51,48621.21
1991-11-21,1001,tropicana,19041,1,2.12,40366.920000000006
1991-11-28,1001,tropicana,16295,1,2.11,34382.45
1991-12-05,1001,tropicana,13648,1,2.4,32755.199999999997
1991-12-12,1001,tropicana,18931,1,2.38,45055.78
1991-12-19,1001,tropicana,10833,1,2.09,22640.969999999998
1991-12-26,1001,tropicana,18669,1,2.47,46112.43
1992-01-02,1001,tropicana,15827,1,2.34,37035.18
1992-01-09,1001,tropicana,17509,1,2.52,44122.68
1992-01-16,1001,tropicana,9174,1,2.02,18531.48
1992-01-23,1001,tropicana,10094,1,2.04,20591.760000000002
1992-01-30,1001,tropicana,11976,1,1.9,22754.399999999998
1992-02-06,1001,tropicana,14643,1,2.28,33386.03999999999
1992-02-13,1001,tropicana,18903,1,2.27,42909.81
1992-02-20,1001,tropicana,12484,1,2.2,27464.800000000003
1992-02-27,1001,tropicana,10901,1,2.19,23873.19
1992-03-05,1001,tropicana,13580,1,2.17,29468.6
1992-03-12,1001,tropicana,13471,1,2.07,27884.969999999998
1992-03-19,1001,tropicana,10477,1,2.62,27449.74
1992-03-26,1001,tropicana,14386,1,2.61,37547.46
1992-04-02,1001,tropicana,17765,1,2.43,43168.950000000004
1992-04-09,1001,tropicana,15337,1,2.53,38802.61
1992-04-16,1001,tropicana,18946,1,2.11,39976.06
1992-04-23,1001,tropicana,16882,1,2.54,42880.28
1992-04-30,1001,tropicana,16100,1,2.67,42987.0
1992-05-07,1001,tropicana,15488,1,2.12,32834.560000000005
1992-05-14,1001,tropicana,10445,1,1.97,20576.65
1992-05-21,1001,tropicana,15843,1,2.04,32319.72
1992-05-28,1001,tropicana,9244,1,2.49,23017.56
1992-06-04,1001,tropicana,19474,1,2.23,43427.02
1992-06-11,1001,tropicana,14695,1,2.43,35708.850000000006
1992-06-18,1001,tropicana,11428,1,2.25,25713.0
1992-06-25,1001,tropicana,18593,1,2.21,41090.53
1992-07-02,1001,tropicana,13462,1,2.62,35270.44
1992-07-09,1001,tropicana,11892,1,2.02,24021.84
1992-07-16,1001,tropicana,11798,1,2.32,27371.359999999997
1992-07-23,1001,tropicana,12931,1,2.4,31034.399999999998
1992-07-30,1001,tropicana,14280,1,2.63,37556.4
1992-08-06,1001,tropicana,9894,1,2.0,19788.0
1992-08-13,1001,tropicana,18346,1,2.31,42379.26
1992-08-20,1001,tropicana,12417,1,2.08,25827.36
1992-08-27,1001,tropicana,9680,1,2.44,23619.2
1992-09-03,1001,tropicana,13325,1,2.58,34378.5
1992-09-10,1001,tropicana,15150,1,2.55,38632.5
1992-09-17,1001,tropicana,17268,1,2.22,38334.96000000001
1992-09-24,1001,tropicana,16940,1,2.3,38962.0
1992-10-01,1001,tropicana,13226,1,2.64,34916.64
