WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1001,minute.maid,15718,1,2.3,36151.399999999994
1990-06-21,1001,minute.maid,13738,1,2.68,36817.840000000004
1990-06-28,1001,minute.maid,16362,1,2.11,34523.82
1990-07-05,1001,minute.maid,19978,1,2.23,44550.94
1990-07-12,1001,minute.maid,9369,1,2.25,21080.25
1990-07-19,1001,minute.maid,17635,1,2.17,38267.95
1990-07-26,1001,minute.maid,10865,1,2.05,22273.249999999996
1990-08-02,1001,minute.maid,16234,1,2.25,36526.5
1990-08-09,1001,minute.maid,9661,1,2.25,21737.25
1990-08-16,1001,minute.maid,18885,1,2.64,49856.4
1990-08-23,1001,minute.maid,13445,1,2.59,34822.549999999996
1990-08-30,1001,minute.maid,18730,1,2.1,39333.0
1990-09-06,1001,minute.maid,18488,1,1.9,35127.2
1990-09-13,1001,minute.maid,12771,1,2.49,31799.790000000005
1990-09-20,1001,minute.maid,18887,1,2.43,45895.41
1990-09-27,1001,minute.maid,11166,1,2.49,27803.340000000004
1990-10-04,1001,minute.maid,12193,1,2.62,31945.66
1990-10-11,1001,minute.maid,9394,1,2.46,23109.239999999998
1990-10-18,1001,minute.maid,17374,1,2.33,40481.42
1990-10-25,1001,minute.maid,9524,1,2.56,24381.44
1990-11-01,1001,minute.maid,17946,1,2.64,47377.44
1990-11-08,1001,minute.maid,9206,1,2.26,20805.559999999998
1990-11-15,1001,minute.maid,13018,1,2.39,31113.02
1990-11-22,1001,minute.maid,11049,1,2.23,24639.27
1990-11-29,1001,minute.maid,19814,1,2.32,45968.479999999996
1990-12-06,1001,minute.maid,18318,1,2.45,44879.100000000006
1990-12-13,1001,minute.maid,16878,1,2.62,44220.36
1990-12-20,1001,minute.maid,17531,1,1.91,33484.21
1990-12-27,1001,minute.maid,12096,1,2.4,29030.399999999998
1991-01-03,1001,minute.maid,18097,1,2.16,39089.520000000004
1991-01-10,1001,minute.maid,15325,1,2.3,35247.5
1991-01-17,1001,minute.maid,9323,1,2.11,19671.53
1991-01-24,1001,minute.maid,18183,1,1.94,35275.02
1991-01-31,1001,minute.maid,19890,1,2.6,51714.0
1991-02-07,1001,minute.maid,10303,1,2.36,24315.079999999998
1991-02-14,1001,minute.maid,9582,1,2.05,19643.1
1991-02-21,1001,minute.maid,15284,1,2.06,31485.04
1991-02-28,1001,minute.maid,14761,1,2.23,32917.03
1991-03-07,1001,minute.maid,19062,1,1.92,36599.04
1991-03-14,1001,minute.maid,19510,1,2.41,47019.100000000006
1991-03-21,1001,minute.maid,13955,1,2.61,36422.549999999996
1991-03-28,1001,minute.maid,12690,1,2.22,28171.800000000003
1991-04-04,1001,minute.maid,11588,1,2.47,28622.36
1991-04-11,1001,minute.maid,13503,1,2.64,35647.92
1991-04-18,1001,minute.maid,16489,1,2.15,35451.35
1991-04-25,1001,minute.maid,14054,1,2.08,29232.32
1991-05-02,1001,minute.maid,16215,1,2.6,42159.0
1991-05-09,1001,minute.maid,9139,1,2.66,24309.74
1991-05-16,1001,minute.maid,16225,1,2.03,32936.75
1991-05-23,1001,minute.maid,14403,1,2.08,29958.24
1991-05-30,1001,minute.maid,18370,1,2.01,36923.7
1991-06-06,1001,minute.maid,14241,1,2.22,31615.020000000004
1991-06-13,1001,minute.maid,11447,1,2.23,25526.81
1991-06-20,1001,minute.maid,16530,1,2.21,36531.3
1991-06-27,1001,minute.maid,9525,1,2.29,21812.25
1991-07-04,1001,minute.maid,16427,1,2.12,34825.240000000005
1991-07-11,1001,minute.maid,9654,1,2.16,20852.640000000003
1991-07-18,1001,minute.maid,9007,1,2.23,20085.61
1991-07-25,1001,minute.maid,19651,1,2.27,44607.77
1991-08-01,1001,minute.maid,15992,1,1.97,31504.239999999998
1991-08-08,1001,minute.maid,18183,1,2.16,39275.280000000006
1991-08-15,1001,minute.maid,11646,1,2.48,28882.079999999998
1991-08-22,1001,minute.maid,17483,1,2.14,37413.62
1991-08-29,1001,minute.maid,12502,1,2.17,27129.34
1991-09-05,1001,minute.maid,19478,1,2.06,40124.68
1991-09-12,1001,minute.maid,10823,1,2.52,27273.96
1991-09-19,1001,minute.maid,14872,1,2.05,30487.6
1991-09-26,1001,minute.maid,14370,1,2.45,35206.5
1991-10-03,1001,minute.maid,11655,1,2.69,31351.95
1991-10-10,1001,minute.maid,12494,1,2.26,28236.44
1991-10-17,1001,minute.maid,9869,1,2.61,25758.09
1991-10-24,1001,minute.maid,18584,1,2.63,48875.92
1991-10-31,1001,minute.maid,9403,1,2.29,21532.87
1991-11-07,1001,minute.maid,9714,1,2.48,24090.72
1991-11-14,1001,minute.maid,13415,1,2.64,35415.6
1991-11-21,1001,minute.maid,9890,1,2.19,21659.1
1991-11-28,1001,minute.maid,15669,1,2.16,33845.04
1991-12-05,1001,minute.maid,12860,1,2.51,32278.6
1991-12-12,1001,minute.maid,9101,1,2.65,24117.649999999998
1991-12-19,1001,minute.maid,11352,1,2.26,25655.519999999997
1991-12-26,1001,minute.maid,14090,1,2.63,37056.7
1992-01-02,1001,minute.maid,10558,1,2.44,25761.52
1992-01-09,1001,minute.maid,17965,1,2.57,46170.049999999996
1992-01-16,1001,minute.maid,16544,1,2.56,42352.64
1992-01-23,1001,minute.maid,15328,1,2.38,36480.64
1992-01-30,1001,minute.maid,17786,1,2.67,47488.619999999995
1992-02-06,1001,minute.maid,19089,1,2.54,48486.06
1992-02-13,1001,minute.maid,16603,1,2.0,33206.0
1992-02-20,1001,minute.maid,10048,1,1.97,19794.56
1992-02-27,1001,minute.maid,10941,1,2.57,28118.37
1992-03-05,1001,minute.maid,9408,1,2.02,19004.16
1992-03-12,1001,minute.maid,14062,1,2.64,37123.68
1992-03-19,1001,minute.maid,13415,1,2.05,27500.749999999996
1992-03-26,1001,minute.maid,15855,1,2.31,36625.05
1992-04-02,1001,minute.maid,11962,1,2.66,31818.920000000002
1992-04-09,1001,minute.maid,12621,1,1.91,24106.11
1992-04-16,1001,minute.maid,16956,1,2.07,35098.92
1992-04-23,1001,minute.maid,11274,1,2.1,23675.4
1992-04-30,1001,minute.maid,15867,1,2.56,40619.520000000004
1992-05-07,1001,minute.maid,15354,1,2.3,35314.2
1992-05-14,1001,minute.maid,14748,1,2.02,29790.96
1992-05-21,1001,minute.maid,18293,1,2.35,42988.55
1992-05-28,1001,minute.maid,16637,1,2.36,39263.32
1992-06-04,1001,minute.maid,18508,1,2.32,42938.56
1992-06-11,1001,minute.maid,9298,1,2.07,19246.859999999997
1992-06-18,1001,minute.maid,10669,1,2.3,24538.699999999997
1992-06-25,1001,minute.maid,17000,1,2.38,40460.0
1992-07-02,1001,minute.maid,11061,1,2.2,24334.2
1992-07-09,1001,minute.maid,19103,1,2.52,48139.56
1992-07-16,1001,minute.maid,19631,1,2.52,49470.12
1992-07-23,1001,minute.maid,11713,1,2.06,24128.78
1992-07-30,1001,minute.maid,16537,1,2.69,44484.53
