WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1003,dominicks,18970,1,2.39,45338.3
1990-06-21,1003,dominicks,11152,1,2.33,25984.16
1990-06-28,1003,dominicks,10257,1,2.48,25437.36
1990-07-05,1003,dominicks,11041,1,2.1,23186.100000000002
1990-07-12,1003,dominicks,14360,1,2.29,32884.4
1990-07-19,1003,dominicks,14017,1,2.25,31538.25
1990-07-26,1003,dominicks,9427,1,2.08,19608.16
1990-08-02,1003,dominicks,17622,1,2.46,43350.12
1990-08-09,1003,dominicks,10121,1,1.97,19938.37
1990-08-16,1003,dominicks,9379,1,2.29,21477.91
1990-08-23,1003,dominicks,18726,1,2.27,42508.02
1990-08-30,1003,dominicks,9732,1,2.58,25108.56
1990-09-06,1003,dominicks,15606,1,2.56,39951.36
1990-09-13,1003,dominicks,16489,1,1.9,31329.1
1990-09-20,1003,dominicks,15857,1,1.96,31079.72
1990-09-27,1003,dominicks,18395,1,2.3,42308.5
1990-10-04,1003,dominicks,16907,1,2.6,43958.200000000004
1990-10-11,1003,dominicks,18053,1,2.63,47479.39
1990-10-18,1003,dominicks,11706,1,2.28,26689.679999999997
1990-10-25,1003,dominicks,18561,1,2.05,38050.049999999996
1990-11-01,1003,dominicks,11872,1,2.09,24812.48
1990-11-08,1003,dominicks,18008,1,2.58,46460.64
1990-11-15,1003,dominicks,10124,1,2.25,22779.0
1990-11-22,1003,dominicks,19082,1,2.27,43316.14
1990-11-29,1003,dominicks,13728,1,2.62,35967.36
1990-12-06,1003,dominicks,16356,1,2.49,40726.44
1990-12-13,1003,dominicks,12160,1,2.05,24927.999999999996
1990-12-20,1003,dominicks,16407,1,1.93,31665.51
1990-12-27,1003,dominicks,16514,1,2.62,43266.68
1991-01-03,1003,dominicks,18890,1,2.33,44013.700000000004
1991-01-10,1003,dominicks,18880,1,2.15,40592.0
1991-01-17,1003,dominicks,11476,1,2.45,28116.2
1991-01-24,1003,dominicks,19066,1,2.51,47855.659999999996
1991-01-31,1003,dominicks,19847,1,2.05,40686.35
1991-02-07,1003,dominicks,11748,1,1.98,23261.04
1991-02-14,1003,dominicks,12814,1,2.23,28575.22
1991-02-21,1003,dominicks,15307,1,2.05,31379.35
1991-02-28,1003,dominicks,19655,1,2.38,46778.9
