WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1000,tropicana,17193,1,2.56,44014.08
1990-06-21,1000,tropicana,11852,1,2.3,27259.6
1990-06-28,1000,tropicana,16254,1,2.47,40147.380000000005
1990-07-05,1000,tropicana,15895,1,1.92,30518.399999999998
1990-07-12,1000,tropicana,17699,1,2.64,46725.36
1990-07-19,1000,tropicana,17837,1,2.26,40311.619999999995
1990-07-26,1000,tropicana,13193,1,1.97,25990.21
1990-08-02,1000,tropicana,19628,1,2.02,39648.56
1990-08-09,1000,tropicana,17984,1,2.2,39564.8
1990-08-16,1000,tropicana,11700,1,2.03,23750.999999999996
1990-08-23,1000,tropicana,9329,1,2.01,18751.289999999997
1990-08-30,1000,tropicana,14646,1,2.1,30756.600000000002
1990-09-06,1000,tropicana,15849,1,2.29,36294.21
1990-09-13,1000,tropicana,16894,1,1.9,32098.6
1990-09-20,1000,tropicana,9921,1,2.53,25100.129999999997
1990-09-27,1000,tropicana,14009,1,2.28,31940.519999999997
1990-10-04,1000,tropicana,15834,1,2.07,32776.38
1990-10-11,1000,tropicana,12060,1,2.18,26290.800000000003
1990-10-18,1000,tropicana,19003,1,2.62,49787.86
1990-10-25,1000,tropicana,15860,1,2.02,32037.2
1990-11-01,1000,tropicana,16150,1,2.29,36983.5
1990-11-08,1000,tropicana,14904,1,2.44,36365.76
1990-11-15,1000,tropicana,9296,1,2.62,24355.52
1990-11-22,1000,tropicana,10031,1,2.24,22469.440000000002
1990-11-29,1000,tropicana,19733,1,2.12,41833.96
1990-12-06,1000,tropicana,17865,1,2.52,45019.8
1990-12-13,1000,tropicana,13373,1,2.25,30089.25
1990-12-20,1000,tropicana,10173,1,2.64,26856.72
1990-12-27,1000,tropicana,17338,1,2.35,40744.3
1991-01-03,1000,tropicana,11850,1,2.3,27254.999999999996
1991-01-10,1000,tropicana,15063,1,2.18,32837.340000000004
1991-01-17,1000,tropicana,17768,1,2.37,42110.16
1991-01-24,1000,tropicana,12282,1,2.33,28617.06
1991-01-31,1000,tropicana,17930,1,2.28,40880.399999999994
1991-02-07,1000,tropicana,16658,1,2.22,36980.76
1991-02-14,1000,tropicana,10837,1,2.08,22540.96
1991-02-21,1000,tropicana,13444,1,2.4,32265.6
1991-02-28,1000,tropicana,12734,1,1.9,24194.6
1991-03-07,1000,tropicana,14482,1,2.29,33163.78
1991-03-14,1000,tropicana,13461,1,2.01,27056.609999999997
1991-03-21,1000,tropicana,14388,1,2.49,35826.12
1991-03-28,1000,tropicana,18043,1,2.1,37890.3
1991-04-04,1000,tropicana,10258,1,2.34,24003.719999999998
1991-04-11,1000,tropicana,17977,1,2.33,41886.41
1991-04-18,1000,tropicana,16051,1,2.26,36275.259999999995
1991-04-25,1000,tropicana,17338,1,1.96,33982.479999999996
1991-05-02,1000,tropicana,18109,1,2.22,40201.98
1991-05-09,1000,tropicana,10744,1,2.69,28901.36
1991-05-16,1000,tropicana,15563,1,2.55,39685.649999999994
1991-05-23,1000,tropicana,14399,1,2.18,31389.820000000003
1991-05-30,1000,tropicana,12226,1,2.13,26041.379999999997
1991-06-06,1000,tropicana,10667,1,2.03,21654.01
1991-06-13,1000,tropicana,19744,1,2.43,47977.920000000006
1991-06-20,1000,tropicana,13638,1,2.18,29730.840000000004
1991-06-27,1000,tropicana,10967,1,2.45,26869.15
1991-07-04,1000,tropicana,10675,1,2.19,23378.25
1991-07-11,1000,tropicana,15977,1,2.01,32113.769999999997
1991-07-18,1000,tropicana,16356,1,1.98,32384.88
1991-07-25,1000,tropicana,9803,1,2.69,26370.07
1991-08-01,1000,tropicana,19774,1,2.26,44689.24
1991-08-08,1000,tropicana,13424,1,1.93,25908.32
1991-08-15,1000,tropicana,18663,1,2.12,39565.560000000005
1991-08-22,1000,tropicana,16223,1,2.38,38610.74
1991-08-29,1000,tropicana,18163,1,2.4,43591.2
1991-09-05,1000,tropicana,19312,1,2.21,42679.52
1991-09-12,1000,tropicana,17805,1,2.51,44690.549999999996
1991-09-19,1000,tropicana,19395,1,1.94,37626.299999999996
1991-09-26,1000,tropicana,10372,1,2.62,27174.64
1991-10-03,1000,tropicana,15732,1,2.02,31778.64
1991-10-10,1000,tropicana,12273,1,1.96,24055.079999999998
1991-10-17,1000,tropicana,14366,1,2.5,35915.0
1991-10-24,1000,tropicana,14247,1,2.15,30631.05
1991-10-31,1000,tropicana,16150,1,2.0,32300.0
1991-11-07,1000,tropicana,17476,1,2.57,44913.32
1991-11-14,1000,tropicana,19573,1,2.24,43843.520000000004
1991-11-21,1000,tropicana,11135,1,2.61,29062.35
1991-11-28,1000,tropicana,15515,1,2.52,39097.8
1991-12-05,1000,tropicana,10983,1,2.17,23833.11
1991-12-12,1000,tropicana,13600,1,1.97,26792.0
1991-12-19,1000,tropicana,12472,1,2.06,25692.32
1991-12-26,1000,tropicana,14014,1,2.38,33353.32
1992-01-02,1000,tropicana,9107,1,2.62,23860.34
1992-01-09,1000,tropicana,10150,1,1.91,19386.5
1992-01-16,1000,tropicana,11628,1,2.26,26279.28
1992-01-23,1000,tropicana,15203,1,2.18,33142.54
1992-01-30,1000,tropicana,13677,1,2.36,32277.719999999998
1992-02-06,1000,tropicana,12722,1,2.46,31296.12
1992-02-13,1000,tropicana,9565,1,2.61,24964.649999999998
1992-02-20,1000,tropicana,13901,1,2.66,36976.66
1992-02-27,1000,tropicana,9002,1,2.36,21244.719999999998
1992-03-05,1000,tropicana,14219,1,2.23,31708.37
1992-03-12,1000,tropicana,17207,1,2.54,43705.78
1992-03-19,1000,tropicana,13232,1,2.33,30830.56
1992-03-26,1000,tropicana,18056,1,2.26,40806.56
1992-04-02,1000,tropicana,18761,1,2.25,42212.25
1992-04-09,1000,tropicana,18951,1,1.99,37712.49
1992-04-16,1000,tropicana,16290,1,2.08,33883.200000000004
1992-04-23,1000,tropicana,19048,1,2.37,45143.76
1992-04-30,1000,tropicana,10188,1,2.39,24349.32
